File Name,File Size,File Date,File Time,Populated Lines,SLOC,LLOC,Duplicate LLOC,Single-Line Comments,Multi-Line Comments,High Quality Comments,Strings,String Words,Numeric Constants,Functions,Cyclomatic Complexity-1,Unfinished Tasks,Branches,Conditionals,Check Operations,Loops,Arithmetic Operations,Bitwise Operations,Unique Code Words,Code Words,Code Chars,String Chars,Comment Chars,Max Scope Depth,Max Scope Cyclomatic-1,
D:\Pastas\Documentos\UESB\dev\uesbvent\uesbvent\ios\Runner\GeneratedPluginRegistrant.m,1248,2023-04-13,17:43,33,29,10,0,4,0,2,4,4,0,1,0,0,0,0,0,0,0,0,15,10,520,88,46,1,0,
D:\Pastas\Documentos\UESB\dev\uesbvent\uesbvent\web\index.html,1878,2022-10-19,19:03,50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,11,10,0,0,0,
D:\Pastas\Documentos\UESB\dev\uesbvent\uesbvent\build\app\generated\source\buildConfig\debug\com\example\uesbvent\BuildConfig.java,407,2023-04-11,22:08,11,9,6,0,0,1,1,4,5,1,0,0,0,0,0,0,0,0,0,11,2,261,34,48,1,0,
D:\Pastas\Documentos\UESB\dev\uesbvent\uesbvent\build\app\intermediates\flutter\debug\flutter_build.d,100670,2023-04-13,17:44,1,1,1,0,0,0,0,0,0,481,0,0,0,0,0,0,0,945,0,983,11741,100670,0,0,0,0,
D:\Pastas\Documentos\UESB\dev\uesbvent\uesbvent\build\firebase_auth\generated\source\buildConfig\debug\io\flutter\plugins\firebase\auth\BuildConfig.java,526,2023-04-11,22:08,13,9,6,0,2,1,3,5,9,0,0,0,0,0,0,0,0,0,0,10,3,272,64,102,1,0,
D:\Pastas\Documentos\UESB\dev\uesbvent\uesbvent\build\firebase_core\generated\source\buildConfig\debug\io\flutter\plugins\firebase\core\BuildConfig.java,525,2023-04-11,22:08,13,9,6,0,2,1,3,5,9,0,0,0,0,0,0,0,0,0,0,10,3,272,63,102,1,0,
D:\Pastas\Documentos\UESB\dev\uesbvent\uesbvent\build\cloud_firestore\generated\source\buildConfig\debug\io\flutter\plugins\firebase\firestore\BuildConfig.java,534,2023-04-11,22:08,13,9,6,0,2,1,3,5,9,0,0,0,0,0,0,0,0,0,0,10,3,272,67,102,1,0,
D:\Pastas\Documentos\UESB\dev\uesbvent\uesbvent\build\image_picker_android\generated\source\buildConfig\debug\io\flutter\plugins\imagepicker\BuildConfig.java,336,2023-04-11,22:08,9,7,4,0,0,1,1,3,5,0,0,0,0,0,0,0,0,0,0,8,1,183,39,48,1,0,
D:\Pastas\Documentos\UESB\dev\uesbvent\uesbvent\build\flutter_plugin_android_lifecycle\generated\source\buildConfig\debug\io\flutter\plugins\flutter_plugin_android_lifecycle\BuildConfig.java,378,2023-04-11,22:08,9,7,4,0,0,1,1,3,8,0,0,0,0,0,0,0,0,0,0,8,1,183,60,48,1,0,
D:\Pastas\Documentos\UESB\dev\uesbvent\uesbvent\linux\main.cc,186,2022-10-05,16:30,5,5,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11,4,142,0,0,1,0,
D:\Pastas\Documentos\UESB\dev\uesbvent\uesbvent\linux\my_application.cc,3818,2022-10-19,19:03,85,74,51,2,11,0,11,6,8,6,6,4,0,3,4,1,0,10,0,84,71,2485,68,553,3,3,
D:\Pastas\Documentos\UESB\dev\uesbvent\uesbvent\linux\flutter\generated_plugin_registrant.cc,161,2023-04-13,17:43,7,3,1,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,54,0,46,1,0,
D:\Pastas\Documentos\UESB\dev\uesbvent\uesbvent\android\app\src\main\java\io\flutter\plugins\GeneratedPluginRegistrant.java,1940,2023-04-13,17:43,41,37,23,8,0,1,1,6,55,0,1,5,0,0,5,0,0,0,0,26,54,871,566,136,3,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entire Project Totals,124929,2023-04-13,17:44,633,514,322,22,55,7,56,51,124,513,38,45,0,35,43,14,2,978,7,1434,12225,114401,1149,2519,4,7,
